Verb,an,nehmen,(+A),accept,etwas annehmen,Sie nahm das Angebot an.
Verb,,füttern,(+A),feed,Tiere füttern,Er füttert den Hund.
Verb,,gießen,(+A),water,Pflanzen gießen,Sie gießt die Blumen.
Verb,,heizen,(+A),heat,etwas erwärmen,Wir heizen das Haus.
Verb,,klingeln,,ring (the bell),die Türklingel betätigen,Es klingelte an der Tür.
Verb,,leeren,(+A),empty,etwas entleeren,Er leert den Mülleimer.
Verb,,lüften,(+A),ventilate,für frische Luft sorgen,Sie lüftet das Zimmer.
Phrase,,zufällig,,by chance,ohne vorherige Absicht,Er kam zufällig vorbei.
Phrase,,nach dem Rechten sehen,,check on things,"nachsehen, ob alles in Ordnung ist",Ich muss nach dem Rechten sehen.
Sub,der,Bauernhof,ö-e,farm,ein landwirtschaftlicher Betrieb,Der Bauernhof liegt am Stadtrand.
Sub,das,Einfamilienhaus,ä-er,detached house,ein Haus für eine Familie,Sie wohnen in einem Einfamilienhaus.
Sub,das,Hochhaus,ä-er,high-rise building,ein großes Gebäude mit vielen Stockwerken,Das Hochhaus ist 20 Stockwerke hoch.
Sub,das,Mehrfamilienhaus,ä-er,multi-family house,"ein Haus, das mehrere Wohnungen beherbergt",Das Mehrfamilienhaus hat zehn Wohnungen.
Sub,das,Reihenhaus,ä-er,terraced house,"ein Haus, das an andere Häuser angrenzt",Sie leben in einem Reihenhaus.
Sub,der,Stadtrand,ä-er,outskirts of the city,der Randbereich einer Stadt,Der Stadtrand ist ruhig und grün.
Sub,die,Stadtwohnung,-en,city apartment,eine Wohnung in der Stadt,Sie hat eine moderne Stadtwohnung.
Sub,der,Vorort,-e,suburb,ein Gebiet außerhalb einer Stadt,Der Vorort ist sehr familienfreundlich.
Verb,,besitzen,(+A),own,etwas haben oder besitzen,Er besitzt ein großes Grundstück.
Verb,,erben,(+A),inherit,etwas nach dem Tod einer Person bekommen,Sie hat das Haus von ihrer Großmutter geerbt.
Verb,,vererben,(+A),bequeath,etwas durch ein Testament weitergeben,Er hat sein Vermögen an seine Kinder vererbt.
